strain	strain_name	date	country	host	subtype
OL989374	None	2021-07-20	China	Homo sapiens	45
OK128339	HRVA11/KM50/Kunming/CHN/2020	2020-07-15	China	Homo sapiens	11
OK128340	HRVA11/KM55/Kunming/CHN/2020	2020-07-16	China	Homo sapiens	11
OK128341	HRVA11/KM61/Kunming/CHN/2020	2020-07-26	China	Homo sapiens	11
ON989189	RV-B79-USA-Feb-2021-Tempe-AZ	2021-XX-XX	USA	Homo sapiens	None
ON989194	RV-B79-USA-Dec-2020-Tempe-AZ	2020-XX-XX	USA	Homo sapiens	None
LC720410	None	2019-XX-XX	Japan	Homo sapiens	73
LC720411	None	2021-XX-XX	Japan	Homo sapiens	80
LC720412	None	2021-XX-XX	Japan	Homo sapiens	80
LC720413	None	2020-XX-XX	Japan	Homo sapiens	40
ON729328	SC16	2017-XX-XX	USA	Homo sapiens	103
ON729329	SC42	2017-XX-XX	USA	Homo sapiens	60
ON729330	SC125	2017-XX-XX	USA	Homo sapiens	94
ON729331	SC177	2017-XX-XX	USA	Homo sapiens	94
ON729332	SC330	2017-XX-XX	USA	Homo sapiens	11
ON729333	SC378	2017-XX-XX	USA	Homo sapiens	21
ON729334	SC380	2017-XX-XX	USA	Homo sapiens	85
ON729336	SC0711	2019-XX-XX	USA	Homo sapiens	53
ON729337	SC815	2017-XX-XX	USA	Homo sapiens	29
ON729338	SC1090	2017-XX-XX	USA	Homo sapiens	59
ON729339	SC1270	2017-XX-XX	USA	Homo sapiens	101
ON311203	A101_3	2021-04-12	USA	Homo sapiens	101
ON311204	A101_2	2021-04-07	USA	Homo sapiens	101
ON311205	A101_1	2021-04-07	USA	Homo sapiens	101
ON311206	A100_2	2019-10-19	USA	Homo sapiens	100
ON311207	A100_1	2019-10-12	USA	Homo sapiens	100
ON311208	A82_4	2020-11-14	USA	Homo sapiens	None
ON311209	A82_3	2020-11-13	USA	Homo sapiens	None
ON311210	A82_2	2020-08-03	USA	Homo sapiens	None
ON311211	A82_1	2020-08-03	USA	Homo sapiens	None
ON311212	A67_3	2020-12-03	USA	Homo sapiens	67
ON311213	A67_2	2020-11-30	USA	Homo sapiens	67
ON311214	A67_1	2020-11-07	USA	Homo sapiens	67
ON311215	A63_2	2020-10-14	USA	Homo sapiens	63
ON311216	A63_1	2020-02-14	USA	Homo sapiens	63
ON311217	A45_1	2020-01-21	USA	Homo sapiens	45
ON311218	A39_1	2021-04-28	USA	Homo sapiens	39
ON311219	A25_4	2020-12-08	USA	Homo sapiens	25
ON311220	A25_3	2020-11-30	USA	Homo sapiens	25
ON311221	A25_2	2020-10-09	USA	Homo sapiens	25
ON311222	A25_1	2020-10-09	USA	Homo sapiens	25
ON311223	A23_31	2020-09-28	USA	Homo sapiens	23
ON311224	A23_30	2020-09-23	USA	Homo sapiens	23
