strain	strain_name	date	country	host	subtype
LC699424	None	2021-XX-XX	Japan	Homo sapiens	1
OL365069	RvA1B/USA/2021/S55VMQ	2021-XX-XX	USA	Homo sapiens	1
OL365071	RvA1B/USA/2021/Z6SUKV	2021-XX-XX	USA	Homo sapiens	1
OL638404	RvA1B/USA/2021/3GDVLR	2021-XX-XX	USA	Homo sapiens	1
OL638405	RvA1B/USA/2021/3SPT3C	2021-XX-XX	USA	Homo sapiens	1
OL638407	RvA1B/USA/2021/5DKFW2	2021-XX-XX	USA	Homo sapiens	1
OL638411	RvA1B/USA/2021/6R3C52	2021-XX-XX	USA	Homo sapiens	1
OL638414	RvA1B/USA/2021/7ZB37V	2021-XX-XX	USA	Homo sapiens	1
OL638416	RvA1B/USA/2021/24JM99	2021-XX-XX	USA	Homo sapiens	1
OL638423	RvA1B/USA/2021/BFSHYK	2021-XX-XX	USA	Homo sapiens	1
OL638428	RvA1B/USA/2021/DDE2PX	2021-XX-XX	USA	Homo sapiens	1
OL638429	RvA1B/USA/2021/DDT9MQ	2021-XX-XX	USA	Homo sapiens	1
OL638430	RvA1B/USA/2021/DN8KZM	2021-XX-XX	USA	Homo sapiens	1
OL638432	RvA1B/USA/2021/GJY6V5	2021-XX-XX	USA	Homo sapiens	1
OL638436	RvA1B/USA/2021/H544NV	2021-XX-XX	USA	Homo sapiens	1
OL638438	RvA1B/USA/2021/K7D6Y9	2021-XX-XX	USA	Homo sapiens	1
OL638439	RvA1B/USA/2021/KXBUDR	2021-XX-XX	USA	Homo sapiens	1
OL638440	RvA1B/USA/2021/L43RDF	2021-XX-XX	USA	Homo sapiens	1
OL638443	RvA1B/USA/2021/LX546E	2021-XX-XX	USA	Homo sapiens	1
OL638450	RvA1B/USA/2021/R6R44S	2021-XX-XX	USA	Homo sapiens	1
OL638451	RvA1B/USA/2021/RJ9JKH	2021-XX-XX	USA	Homo sapiens	1
OL638452	RvA1B/USA/2021/S5QU9E	2021-XX-XX	USA	Homo sapiens	1
OL638457	RvA1B/USA/2021/USGUP7	2021-XX-XX	USA	Homo sapiens	1
OL638466	RvA1B/USA/2021/ZP8JVT	2021-XX-XX	USA	Homo sapiens	1
OL961519	RvA1B/USA/2021/5HQQCR	2021-XX-XX	USA	Homo sapiens	1
OL961523	RvA1B/USA/2021/9VG3N5	2021-XX-XX	USA	Homo sapiens	1
OL961527	RvA1B/USA/2021/J379EW	2021-XX-XX	USA	Homo sapiens	1
OL961528	RvA1B/USA/2021/JHCDC9	2021-XX-XX	USA	Homo sapiens	1
OL961536	RvA1B/USA/2021/PN664H	2021-XX-XX	USA	Homo sapiens	1
OL961543	RvA1B/USA/2021/SADFM8	2021-XX-XX	USA	Homo sapiens	1
OL961546	RvA1B/USA/2021/TMLY2V	2021-XX-XX	USA	Homo sapiens	1
OL961548	RvA1B/USA/2021/WAM55M	2021-XX-XX	USA	Homo sapiens	1
OM001345	RvA1B/USA/2021/5MRYB5	2021-XX-XX	USA	Homo sapiens	1
OM001347	RvA1B/USA/2021/7CQWB4	2021-XX-XX	USA	Homo sapiens	1
OM001357	RvA1B/USA/2021/3E99XE	2021-XX-XX	USA	Homo sapiens	1
OM001359	RvA1B/USA/2021/4LQDLD	2021-XX-XX	USA	Homo sapiens	1
OM001360	RvA1B/USA/2021/4U8VMU	2021-XX-XX	USA	Homo sapiens	1
OM001361	RvA1B/USA/2021/5B3K6W	2021-XX-XX	USA	Homo sapiens	1
OM001364	RvA1B/USA/2021/7HDNKU	2021-XX-XX	USA	Homo sapiens	1
OM001369	RvA1B/USA/2021/83LR65	2021-XX-XX	USA	Homo sapiens	1
OM001370	RvA1B/USA/2021/A9B9R2	2021-XX-XX	USA	Homo sapiens	1
OM001371	RvA1B/USA/2021/BGLPMU	2021-XX-XX	USA	Homo sapiens	1
OM001376	RvA1B/USA/2021/EKM5R4	2021-XX-XX	USA	Homo sapiens	1
OM001378	RvA1B/USA/2021/GUB788	2021-XX-XX	USA	Homo sapiens	1
OM001379	RvA1B/USA/2021/HAUGWA	2021-XX-XX	USA	Homo sapiens	1
OM001383	RvA1B/USA/2021/K43YQK	2021-XX-XX	USA	Homo sapiens	1
OM001384	RvA1B/USA/2021/MRGJ7J	2021-XX-XX	USA	Homo sapiens	1
OM001388	RvA1B/USA/2021/QQQ6WD	2021-XX-XX	USA	Homo sapiens	1
OM001389	RvA1B/USA/2021/QU9ZFD	2021-XX-XX	USA	Homo sapiens	1
OM001391	RvA1B/USA/2021/ST2HNK	2021-XX-XX	USA	Homo sapiens	1
OM001396	RvA1B/USA/2021/ZG3D4E	2021-XX-XX	USA	Homo sapiens	1
OM001399	RvA1B/USA/2021/3Y86U8	2021-XX-XX	USA	Homo sapiens	1
OM001410	RvA1B/USA/2021/69EV5T	2021-XX-XX	USA	Homo sapiens	1
OM001414	RvA1B/USA/2021/APWHPM	2021-XX-XX	USA	Homo sapiens	1
OM001416	RvA1B/USA/2021/BLN9GD	2021-XX-XX	USA	Homo sapiens	1
OM001419	RvA1B/USA/2021/CDYDCW	2021-XX-XX	USA	Homo sapiens	1
