strain	strain_name	date	country	host	subtype
ON729339	SC1270	2017-XX-XX	USA	Homo sapiens	101
ON311203	A101_3	2021-04-12	USA	Homo sapiens	101
ON311204	A101_2	2021-04-07	USA	Homo sapiens	101
ON311205	A101_1	2021-04-07	USA	Homo sapiens	101
OL638412	RvA101/USA/2021/6TDTP7	2021-XX-XX	USA	Homo sapiens	101
OL638437	RvA101/USA/2021/K4V8RA	2021-XX-XX	USA	Homo sapiens	101
OL638458	RvA101/USA/2021/UX9Y8D	2021-XX-XX	USA	Homo sapiens	101
OL638465	RvA101/USA/2021/YB9UM7	2021-XX-XX	USA	Homo sapiens	101
OL961539	RvA101/USA/2021/QNHAVA	2021-XX-XX	USA	Homo sapiens	101
OM001353	RvA101/USA/2021/RTCGPQ	2021-XX-XX	USA	Homo sapiens	101
OM001363	RvA101/USA/2021/6QH7WE	2021-XX-XX	USA	Homo sapiens	101
OM001372	RvA101/USA/2021/CBMCLT	2021-XX-XX	USA	Homo sapiens	101
OM001398	RvA101/USA/2021/2Z473W	2021-XX-XX	USA	Homo sapiens	101
OM001406	RvA101/USA/2021/8WF6RG	2021-XX-XX	USA	Homo sapiens	101
OM001413	RvA101/USA/2021/32263Q	2021-XX-XX	USA	Homo sapiens	101
OM001415	RvA101/USA/2021/B67TLB	2021-XX-XX	USA	Homo sapiens	101
OM001420	RvA101/USA/2021/CJ9SQ3	2021-XX-XX	USA	Homo sapiens	101
OM001431	RvA101/USA/2021/H6FXGU	2021-XX-XX	USA	Homo sapiens	101
OM001440	RvA101/USA/2021/MUXYR5	2021-XX-XX	USA	Homo sapiens	101
OM001450	RvA101/USA/2021/T8HRXF	2021-XX-XX	USA	Homo sapiens	101
OM001454	RvA101/USA/2021/U2NC4T	2021-XX-XX	USA	Homo sapiens	101
OM001460	RvA101/USA/2021/WH3U28	2021-XX-XX	USA	Homo sapiens	101
OK254825	RvA101/USA/2021/2XQHXY	2021-XX-XX	USA	Homo sapiens	101
OK254832	RvA101/USA/2021/5SG2P9	2021-XX-XX	USA	Homo sapiens	101
OK254847	RvA101/USA/2021/BF8YDK	2021-XX-XX	USA	Homo sapiens	101
OK254849	RvA101/USA/2021/BMZ9ST	2021-XX-XX	USA	Homo sapiens	101
OK254852	RvA101/USA/2021/E9DZGH	2021-XX-XX	USA	Homo sapiens	101
OK254866	RvA101/USA/2021/MV5JFC	2021-XX-XX	USA	Homo sapiens	101
OK254876	RvA101/USA/2021/RMEDM4	2021-XX-XX	USA	Homo sapiens	101
OK254878	RvA101/USA/2021/UZLAZ7	2021-XX-XX	USA	Homo sapiens	101
OK254881	RvA101/USA/2021/WACM2B	2021-XX-XX	USA	Homo sapiens	101
OK539466	RvA101/USA/2021/7CKKN7	2021-XX-XX	USA	Homo sapiens	101
OK539472	RvA101/USA/2021/678MDE	2021-XX-XX	USA	Homo sapiens	101
OK539473	RvA101/USA/2021/AABEL2	2021-XX-XX	USA	Homo sapiens	101
OK539474	RvA101/USA/2021/AKC7YK	2021-XX-XX	USA	Homo sapiens	101
OK539496	RvA101/USA/2021/LZKW7P	2021-XX-XX	USA	Homo sapiens	101
OK539510	RvA101/USA/2021/WQ92U9	2021-XX-XX	USA	Homo sapiens	101
OK539511	RvA101/USA/2021/X9WG2U	2021-XX-XX	USA	Homo sapiens	101
OK539514	RvA101/USA/2021/ZCTB7X	2021-XX-XX	USA	Homo sapiens	101
OK649385	RvA101/USA/2021/DX87ST	2021-XX-XX	USA	Homo sapiens	101
OK649389	RvA101/USA/2021/EL36YB	2021-XX-XX	USA	Homo sapiens	101
OL133736	RvA101/USA/2021/E73HM8	2021-XX-XX	USA	Homo sapiens	101
OL133738	RvA101/USA/2021/FXT9GM	2021-XX-XX	USA	Homo sapiens	101
OL133757	RvA101/USA/2021/U3G4GU	2021-XX-XX	USA	Homo sapiens	101
OK017911	RvA101/USA/2021/4SMAAN	2021-XX-XX	USA	Homo sapiens	101
OK017912	RvA101/USA/2021/6ES8YW	2021-XX-XX	USA	Homo sapiens	101
OK017928	RvA101/USA/2021/CUWJ9U	2021-XX-XX	USA	Homo sapiens	101
OK017932	RvA101/USA/2021/EZSUNN	2021-XX-XX	USA	Homo sapiens	101
OK017936	RvA101/USA/2021/HN3BZF	2021-XX-XX	USA	Homo sapiens	101
OK017943	RvA101/USA/2021/MT8X9R	2021-XX-XX	USA	Homo sapiens	101
OK017958	RvA101/USA/2021/TA4D66	2021-XX-XX	USA	Homo sapiens	101
OK017960	RvA101/USA/2021/VMSPFS	2021-XX-XX	USA	Homo sapiens	101
OK017963	RvA101/USA/2021/WZXFPB	2021-XX-XX	USA	Homo sapiens	101
OK161373	RvA101/USA/2021/6TDTP7	2021-XX-XX	USA	Homo sapiens	101
OK161375	RvA101/USA/2021/7WZNLG	2021-XX-XX	USA	Homo sapiens	101
OK161380	RvA101/USA/2021/CFK966	2021-XX-XX	USA	Homo sapiens	101
OK161381	RvA101/USA/2021/E4FGB8	2021-XX-XX	USA	Homo sapiens	101
OK161385	RvA101/USA/2021/GU37WH	2021-XX-XX	USA	Homo sapiens	101
OK161393	RvA101/USA/2021/MXCX3F	2021-XX-XX	USA	Homo sapiens	101
OK161397	RvA101/USA/2021/SY9NBT	2021-XX-XX	USA	Homo sapiens	101
OK161410	RvA101/USA/2021/2VCD7W	2021-XX-XX	USA	Homo sapiens	101
OK181458	RvA101/USA/2021/7KS6TL	2021-XX-XX	USA	Homo sapiens	101
OK181471	RvA101/USA/2021/BUK7KV	2021-XX-XX	USA	Homo sapiens	101
OK181495	RvA101/USA/2021/U2UPK9	2021-XX-XX	USA	Homo sapiens	101
OK181503	RvA101/USA/2021/Z9PNYA	2021-XX-XX	USA	Homo sapiens	101
MZ670580	RvA101/USA/2021/DBPSZW	2021-XX-XX	USA	Homo sapiens	101
MZ670585	RvA101/USA/2021/NJQLDT	2021-XX-XX	USA	Homo sapiens	101
MZ670595	RvA101/USA/2021/YQHPWN	2021-XX-XX	USA	Homo sapiens	101
MZ835568	RvA101/USA/2021/988LN3	2021-XX-XX	USA	Homo sapiens	101
MZ835569	RvA101/USA/2021/ATQ6M4	2021-XX-XX	USA	Homo sapiens	101
MZ835575	RvA101/USA/2021/EZHZLF	2021-XX-XX	USA	Homo sapiens	101
MZ835582	RvA101/USA/2021/HWF3BE	2021-XX-XX	USA	Homo sapiens	101
MZ835585	RvA101/USA/2021/JKNFMV	2021-XX-XX	USA	Homo sapiens	101
MZ835586	RvA101/USA/2021/JMLV38	2021-XX-XX	USA	Homo sapiens	101
MZ835587	RvA101/USA/2021/JYG27A	2021-XX-XX	USA	Homo sapiens	101
MZ835590	RvA101/USA/2021/M8EN26	2021-XX-XX	USA	Homo sapiens	101
MZ835591	RvA101/USA/2021/M9C2QB	2021-XX-XX	USA	Homo sapiens	101
MZ835593	RvA101/USA/2021/MQLTCE	2021-XX-XX	USA	Homo sapiens	101
MZ835602	RvA101/USA/2021/TFAADL	2021-XX-XX	USA	Homo sapiens	101
MZ835604	RvA101/USA/2021/U93RY3	2021-XX-XX	USA	Homo sapiens	101
MZ540946	RvA101/USA/2021/NDFVRC	2021-XX-XX	USA	Homo sapiens	101
MZ629105	RvA101/USA/2021/6SNUBE	2021-XX-XX	USA	Homo sapiens	101
MZ629110	RvA101/USA/2021/PSAKUR	2021-XX-XX	USA	Homo sapiens	101
MZ629112	RvA101/USA/2021/VBN8L7	2021-XX-XX	USA	Homo sapiens	101
MZ629119	RvA101/USA/2021/5N9V7D	2021-XX-XX	USA	Homo sapiens	101
MZ629121	RvA101/USA/2021/6JDTPY	2021-XX-XX	USA	Homo sapiens	101
MZ629125	RvA101/USA/2021/35FUQN	2021-XX-XX	USA	Homo sapiens	101
MZ629126	RvA101/USA/2021/72Q5CM	2021-XX-XX	USA	Homo sapiens	101
MZ629133	RvA101/USA/2021/D2TLHA	2021-XX-XX	USA	Homo sapiens	101
