strain	strain_name	date	country	host	subtype
FJ445111	ATCC VR-1559	2009-04-10	None	None	1
MF973193	5Q1	2017-12-09	USA	Homo sapiens	1
KC894167	HRV-1A_P6	2011-XX-XX	USA	Mus musculus	None
KC894168	HRV-1A_P8	2011-XX-XX	USA	Mus musculus	None
KC894166	HRV-1A_P1	2011-XX-XX	USA	Mus musculus	None
KC894169	HRV-1A_P25	2011-XX-XX	USA	Mus musculus	None
MN749147	12J7	2015-XX-XX	USA	Homo sapiens	1
MN749150	12L1	2015-XX-XX	USA	Homo sapiens	1
MN749153	12M3	2015-XX-XX	USA	Homo sapiens	1
MN749156	12O2	2015-XX-XX	USA	Homo sapiens	1
MN749157	12O3	2015-XX-XX	USA	Homo sapiens	1
JN837694	HRV-A01_p1171_sR1211_2009	2009-09-19	USA	Homo sapiens	None
JQ837724	HRV-A01_p1143_sR2058_2009	2009-XX-XX	USA	Homo sapiens	None
MF973194	7A2	2017-12-09	USA	Homo sapiens	1
LC699424	None	2021-XX-XX	Japan	Homo sapiens	1
OK539479	RvA1B/USA/2021/CTAC6S	2021-XX-XX	USA	Homo sapiens	1
OM001419	RvA1B/USA/2021/CDYDCW	2021-XX-XX	USA	Homo sapiens	1
OL133743	RvA1B/USA/2021/J34T3W	2021-XX-XX	USA	Homo sapiens	1
OK161412	RvA1B/USA/2021/3MB4H3	2021-XX-XX	USA	Homo sapiens	1
OK539497	RvA1B/USA/2021/NP4KDF	2021-XX-XX	USA	Homo sapiens	1
OL365069	RvA1B/USA/2021/S55VMQ	2021-XX-XX	USA	Homo sapiens	1
OK161379	RvA1B/USA/2021/BGM7P8	2021-XX-XX	USA	Homo sapiens	1
OL638411	RvA1B/USA/2021/6R3C52	2021-XX-XX	USA	Homo sapiens	1
OL638432	RvA1B/USA/2021/GJY6V5	2021-XX-XX	USA	Homo sapiens	1
OL638439	RvA1B/USA/2021/KXBUDR	2021-XX-XX	USA	Homo sapiens	1
OK649374	RvA1B/USA/2021/8QYGS3	2021-XX-XX	USA	Homo sapiens	1
OK181498	RvA1B/USA/2021/UPD5SF	2021-XX-XX	USA	Homo sapiens	1
OK649414	RvA1B/USA/2021/R7JU5B	2021-XX-XX	USA	Homo sapiens	1
OK181461	RvA1B/USA/2021/8V8XTX	2021-XX-XX	USA	Homo sapiens	1
OK649373	RvA1B/USA/2021/6XYXB9	2021-XX-XX	USA	Homo sapiens	1
OL365071	RvA1B/USA/2021/Z6SUKV	2021-XX-XX	USA	Homo sapiens	1
OL638443	RvA1B/USA/2021/LX546E	2021-XX-XX	USA	Homo sapiens	1
OL961523	RvA1B/USA/2021/9VG3N5	2021-XX-XX	USA	Homo sapiens	1
OL961548	RvA1B/USA/2021/WAM55M	2021-XX-XX	USA	Homo sapiens	1
OM001396	RvA1B/USA/2021/ZG3D4E	2021-XX-XX	USA	Homo sapiens	1
OK649368	RvA1B/USA/2021/5UJU3X	2021-XX-XX	USA	Homo sapiens	1
OL133754	RvA1B/USA/2021/RL2RBN	2021-XX-XX	USA	Homo sapiens	1
OK539493	RvA1B/USA/2021/J9NM6M	2021-XX-XX	USA	Homo sapiens	1
OM001384	RvA1B/USA/2021/MRGJ7J	2021-XX-XX	USA	Homo sapiens	1
OL133765	RvA1B/USA/2021/Y4PPHW	2021-XX-XX	USA	Homo sapiens	1
