strain	strain_name	date	country	host	subtype
ON311185	B27_18	2021-02-25	USA	Homo sapiens	27
ON311186	B27_17	2021-01-23	USA	Homo sapiens	27
ON311187	B27_16	2021-01-20	USA	Homo sapiens	27
ON311188	B27_15	2020-10-14	USA	Homo sapiens	27
ON311189	B27_14	2020-10-14	USA	Homo sapiens	27
ON311190	B27_13	2020-10-13	USA	Homo sapiens	27
ON311191	B27_12	2020-10-13	USA	Homo sapiens	27
ON311192	B27_11	2020-10-13	USA	Homo sapiens	27
ON311193	B27_10	2020-10-10	USA	Homo sapiens	27
ON311194	B27_9	2020-10-09	USA	Homo sapiens	27
ON311195	B27_8	2020-10-09	USA	Homo sapiens	27
ON311196	B27_7	2020-10-09	USA	Homo sapiens	27
ON311197	B27_6	2020-10-08	USA	Homo sapiens	27
ON311198	B27_5	2020-10-05	USA	Homo sapiens	27
ON311199	B27_4	2020-10-03	USA	Homo sapiens	27
ON311200	B27_3	2020-09-30	USA	Homo sapiens	27
ON311201	B27_2	2020-09-24	USA	Homo sapiens	27
ON311202	B27_1	2020-09-12	USA	Homo sapiens	27
OM001423	RvB27/USA/2021/D6RYT4	2021-XX-XX	USA	Homo sapiens	27
OK539471	RvB27/USA/2021/35PEXM	2021-XX-XX	USA	Homo sapiens	27
OK539488	RvB27/USA/2021/HBCZ2B	2021-XX-XX	USA	Homo sapiens	27
OK649365	RvB27/USA/2021/4N4Q2D	2021-XX-XX	USA	Homo sapiens	27
OK649400	RvB27/USA/2021/K7UHH5	2021-XX-XX	USA	Homo sapiens	27
OK017939	RvB27/USA/2021/LNAGLZ	2021-XX-XX	USA	Homo sapiens	27
MZ835570	RvB27/USA/2021/AXBQ7G	2021-XX-XX	USA	Homo sapiens	27
MZ835597	RvB27/USA/2021/PSJ3JS	2021-XX-XX	USA	Homo sapiens	27
MZ629146	RvB27/USA/2021/KJTADV	2021-XX-XX	USA	Homo sapiens	27
MZ460714	RvB27/USA/2021/YR7AFQ	2021-XX-XX	USA	Homo sapiens	27
MZ363412	RvB27/USA/2021/2DPZS9	2021-XX-XX	USA	Homo sapiens	27
MZ363452	RvB27/USA/2021/RBDWWJ	2021-XX-XX	USA	Homo sapiens	27
MZ153257	RvB27/USA/2021/55563	2021-XX-XX	USA	Homo sapiens	27
MW969533	RvB27/USA/2021/69199	2021-XX-XX	USA	Homo sapiens	27
KY369900	SC275	2016-XX-XX	USA	Homo sapiens	27
KY369901	SC863	2016-XX-XX	USA	Homo sapiens	27
JF285308	None	2004-07-06	Switzerland	Homo sapiens	None
JF285309	None	2004-07-06	Switzerland	Homo sapiens	None
FJ445186	ATCC VR-1137	2009-04-10	None	None	27
EF173421	None	2007-07-15	None	None	27
