strain	strain_name	date	country	host	subtype
K02121	None	2021-07-29	None	None	14
L05355	1059	1993-06-11	None	None	14
MZ629135	RvB14/USA/2021/DG8738	2021-XX-XX	USA	Homo sapiens	14
MN306034	SC0641	2019-XX-XX	USA	Homo sapiens	14
OL365067	RvB6/USA/2021/FZ2V6N	2021-XX-XX	USA	Homo sapiens	6
OM001402	RvB6/USA/2021/6V4DAV	2021-XX-XX	USA	Homo sapiens	6
OK649379	RvB6/USA/2021/99Y645	2021-XX-XX	USA	Homo sapiens	6
OK649412	RvB6/USA/2021/PM4SGW	2021-XX-XX	USA	Homo sapiens	6
OK161377	RvB6/USA/2021/79DW39	2021-XX-XX	USA	Homo sapiens	6
OL638441	RvB6/USA/2021/L425Y7	2021-XX-XX	USA	Homo sapiens	6
MZ629108	RvB6/USA/2021/P33YDL	2021-XX-XX	USA	Homo sapiens	6
OL638410	RvB6/USA/2021/5RAVMG	2021-XX-XX	USA	Homo sapiens	6
OM001456	RvB6/USA/2021/UK2NRH	2021-XX-XX	USA	Homo sapiens	6
OL638415	RvB6/USA/2021/8F5FMF	2021-XX-XX	USA	Homo sapiens	6
OL638455	RvB6/USA/2021/T9WSKA	2021-XX-XX	USA	Homo sapiens	6
OK161403	RvB6/USA/2021/VSSKEQ	2021-XX-XX	USA	Homo sapiens	6
OM001417	RvB6/USA/2021/BPFP6D	2021-XX-XX	USA	Homo sapiens	6
OK161384	RvB6/USA/2021/GNSDVR	2021-XX-XX	USA	Homo sapiens	6
OL961538	RvB6/USA/2021/Q4YND6	2021-XX-XX	USA	Homo sapiens	6
OM001409	RvB6/USA/2021/45WJKT	2021-XX-XX	USA	Homo sapiens	6
OM001425	RvB6/USA/2021/DPDH5G	2021-XX-XX	USA	Homo sapiens	6
OK254840	RvB6/USA/2021/69Y444	2021-XX-XX	USA	Homo sapiens	6
OK254848	RvB6/USA/2021/BK4QCC	2021-XX-XX	USA	Homo sapiens	6
OK017959	RvB6/USA/2021/TGXSK5	2021-XX-XX	USA	Homo sapiens	6
MZ153247	RvB6/USA/2021/WA7H3B	2021-XX-XX	USA	Homo sapiens	6
MZ835566	RvB6/USA/2021/9C7QA8	2021-XX-XX	USA	Homo sapiens	6
OK649410	RvB6/USA/2021/NNWZ7G	2021-XX-XX	USA	Homo sapiens	6
OK649426	RvB6/USA/2021/YYCVTX	2022-01-13	None	Homo sapiens	6
OK181492	RvB6/USA/2021/QAUFHA	2021-XX-XX	USA	Homo sapiens	6
OL638445	RvB6/USA/2021/N5MQ9S	2021-XX-XX	USA	Homo sapiens	6
OK181464	RvB6/USA/2021/64VDGY	2021-XX-XX	USA	Homo sapiens	6
OM001435	RvB6/USA/2021/JZXZRN	2021-XX-XX	USA	Homo sapiens	6
OK254841	RvB6/USA/2021/77D8NW	2021-XX-XX	USA	Homo sapiens	6
MZ670591	RvB6/USA/2021/RAS4VQ	2021-XX-XX	USA	Homo sapiens	6
MZ835567	RvB6/USA/2021/9P4HWE	2021-XX-XX	USA	Homo sapiens	6
OL133761	RvB6/USA/2021/VJTQNT	2021-XX-XX	USA	Homo sapiens	6
OK539502	RvB6/USA/2021/RVALDX	2021-XX-XX	USA	Homo sapiens	6
OL961522	RvB6/USA/2021/9PHJLR	2021-XX-XX	USA	Homo sapiens	6
MZ629111	RvB6/USA/2021/RC6ZUZ	2021-XX-XX	USA	Homo sapiens	6
OK017940	RvB6/USA/2021/LYE8QW	2021-XX-XX	USA	Homo sapiens	6
OK017947	RvB6/USA/2021/NQAYRT	2021-XX-XX	USA	Homo sapiens	6
MZ629157	RvB6/USA/2021/PPFGFR	2021-XX-XX	USA	Homo sapiens	6
MZ460678	RvB6/USA/2021/A64QJP	2021-XX-XX	USA	Homo sapiens	6
MZ460680	RvB6/USA/2021/A8F6KW	2021-XX-XX	USA	Homo sapiens	6
MZ460710	RvB6/USA/2021/WSTX7E	2021-XX-XX	USA	Homo sapiens	6
OK254846	RvB6/USA/2021/B2GAN2	2021-XX-XX	USA	Homo sapiens	6
MZ153282	RvB6/USA/2021/322859-4	2021-XX-XX	USA	Homo sapiens	6
