strain	strain_name	date	country	host	subtype
OL365067	RvB6/USA/2021/FZ2V6N	2021-XX-XX	USA	Homo sapiens	6
OL638410	RvB6/USA/2021/5RAVMG	2021-XX-XX	USA	Homo sapiens	6
OL638415	RvB6/USA/2021/8F5FMF	2021-XX-XX	USA	Homo sapiens	6
OL638421	RvB6/USA/2021/A6H6MU	2021-XX-XX	USA	Homo sapiens	6
OL638435	RvB6/USA/2021/H23Z5S	2021-XX-XX	USA	Homo sapiens	6
OL638441	RvB6/USA/2021/L425Y7	2021-XX-XX	USA	Homo sapiens	6
OL638445	RvB6/USA/2021/N5MQ9S	2021-XX-XX	USA	Homo sapiens	6
OL638447	RvB6/USA/2021/PL3ZML	2021-XX-XX	USA	Homo sapiens	6
OL638455	RvB6/USA/2021/T9WSKA	2021-XX-XX	USA	Homo sapiens	6
OL638464	RvB6/USA/2021/Y6VYYX	2021-XX-XX	USA	Homo sapiens	6
OL961522	RvB6/USA/2021/9PHJLR	2021-XX-XX	USA	Homo sapiens	6
OL961538	RvB6/USA/2021/Q4YND6	2021-XX-XX	USA	Homo sapiens	6
OL961541	RvB6/USA/2021/RHWV84	2021-XX-XX	USA	Homo sapiens	6
OL961545	RvB6/USA/2021/T8SL4A	2021-XX-XX	USA	Homo sapiens	6
OM001367	RvB6/USA/2021/9EA8ZQ	2021-XX-XX	USA	Homo sapiens	6
OM001381	RvB6/USA/2021/HSEJEK	2021-XX-XX	USA	Homo sapiens	6
OM001393	RvB6/USA/2021/W4XT4U	2021-XX-XX	USA	Homo sapiens	6
OM001402	RvB6/USA/2021/6V4DAV	2021-XX-XX	USA	Homo sapiens	6
OM001409	RvB6/USA/2021/45WJKT	2021-XX-XX	USA	Homo sapiens	6
OM001417	RvB6/USA/2021/BPFP6D	2021-XX-XX	USA	Homo sapiens	6
OM001425	RvB6/USA/2021/DPDH5G	2021-XX-XX	USA	Homo sapiens	6
OM001435	RvB6/USA/2021/JZXZRN	2021-XX-XX	USA	Homo sapiens	6
OM001447	RvB6/USA/2021/SZSH98	2021-XX-XX	USA	Homo sapiens	6
OM001456	RvB6/USA/2021/UK2NRH	2021-XX-XX	USA	Homo sapiens	6
OM001469	RvB6/USA/2021/ZB2LDJ	2021-XX-XX	USA	Homo sapiens	6
OK254836	RvB6/USA/2021/7UXRBL	2021-XX-XX	USA	Homo sapiens	6
OK254840	RvB6/USA/2021/69Y444	2021-XX-XX	USA	Homo sapiens	6
OK254841	RvB6/USA/2021/77D8NW	2021-XX-XX	USA	Homo sapiens	6
OK254846	RvB6/USA/2021/B2GAN2	2021-XX-XX	USA	Homo sapiens	6
OK254848	RvB6/USA/2021/BK4QCC	2021-XX-XX	USA	Homo sapiens	6
OK539502	RvB6/USA/2021/RVALDX	2021-XX-XX	USA	Homo sapiens	6
OK649359	RvB6/USA/2021/2FUYCS	2021-XX-XX	USA	Homo sapiens	6
OK649379	RvB6/USA/2021/99Y645	2021-XX-XX	USA	Homo sapiens	6
OK649394	RvB6/USA/2021/GV5T3B	2021-XX-XX	USA	Homo sapiens	6
OK649398	RvB6/USA/2021/JVWUFE	2021-XX-XX	USA	Homo sapiens	6
OK649403	RvB6/USA/2021/KR2W5V	2021-XX-XX	USA	Homo sapiens	6
OK649410	RvB6/USA/2021/NNWZ7G	2021-XX-XX	USA	Homo sapiens	6
OK649412	RvB6/USA/2021/PM4SGW	2021-XX-XX	USA	Homo sapiens	6
OK649413	RvB6/USA/2021/QHY6A5	2021-XX-XX	USA	Homo sapiens	6
OK649426	RvB6/USA/2021/YYCVTX	2022-01-13	None	Homo sapiens	6
OL133761	RvB6/USA/2021/VJTQNT	2021-XX-XX	USA	Homo sapiens	6
OL133766	RvB6/USA/2021/YLYKGD	2021-XX-XX	USA	Homo sapiens	6
OK017925	RvB6/USA/2021/C4KC4J	2021-XX-XX	USA	Homo sapiens	6
