strain	strain_name	date	country	host	subtype
OM001344	RvC11/USA/2021/2VT7W9	2021-XX-XX	USA	Homo sapiens	11
OM001465	RvC11/USA/2021/XB3862	2021-XX-XX	USA	Homo sapiens	11
OK254853	RvC11/USA/2021/EC3MTA	2021-XX-XX	USA	Homo sapiens	11
OK254863	RvC11/USA/2021/L2PJH9	2021-XX-XX	USA	Homo sapiens	11
OK649407	RvC11/USA/2021/M9Y627	2021-XX-XX	USA	Homo sapiens	11
OK649422	RvC11/USA/2021/WL4LFZ	2021-XX-XX	USA	Homo sapiens	11
OK017910	RvC11/USA/2021/3JSQVT	2021-XX-XX	USA	Homo sapiens	11
OK017927	RvC11/USA/2021/CPESRU	2021-XX-XX	USA	Homo sapiens	11
OK017944	RvC11/USA/2021/N2VNU5	2021-XX-XX	USA	Homo sapiens	11
MZ540951	RvC11/USA/2021/X7HR9N	2021-XX-XX	USA	Homo sapiens	11
MZ540954	RvC11/USA/2021/YM2DZ4	2021-XX-XX	USA	Homo sapiens	11
MZ629106	RvC11/USA/2021/77KVU4	2021-XX-XX	USA	Homo sapiens	11
MZ629171	RvC11/USA/2021/VXVRZL	2021-XX-XX	USA	Homo sapiens	11
MZ460683	RvC11/USA/2021/AMBYGX	2021-XX-XX	USA	Homo sapiens	11
MZ460685	RvC11/USA/2021/BJCMLC	2021-XX-XX	USA	Homo sapiens	11
MZ460698	RvC11/USA/2021/N349SV	2021-XX-XX	USA	Homo sapiens	11
MZ460709	RvC11/USA/2021/W6UJZT	2021-XX-XX	USA	Homo sapiens	11
MZ268653	RvC11/USA/2021/256231	2021-XX-XX	USA	Homo sapiens	11
MZ268659	RvC11/USA/2021/303141	2021-XX-XX	USA	Homo sapiens	11
MZ268676	RvC11/USA/2021/162800	2021-XX-XX	USA	Homo sapiens	11
MZ268679	RvC11/USA/2021/163548	2021-XX-XX	USA	Homo sapiens	11
MZ268686	None	2021-XX-XX	USA	Homo sapiens	11
MZ268689	None	2021-XX-XX	USA	Homo sapiens	11
MZ268696	None	2021-XX-XX	USA	Homo sapiens	11
MZ268702	RvC11/USA/2021/2TL76C	2021-XX-XX	USA	Homo sapiens	11
MZ268707	RvC11/USA/2021/498C5V	2021-XX-XX	USA	Homo sapiens	11
MZ268710	RvC11/USA/2021/045373	2021-XX-XX	USA	Homo sapiens	11
MZ268716	RvC11/USA/2021/398871	2021-XX-XX	USA	Homo sapiens	11
MZ268738	RvC11/USA/2021/U6TZ45	2021-XX-XX	USA	Homo sapiens	11
MZ322922	RvC11/USA/2021/EAVM2E	2021-XX-XX	USA	Homo sapiens	11
MZ322928	RvC11/USA/2021/NE9HDM	2021-XX-XX	USA	Homo sapiens	11
MZ363417	RvC11/USA/2021/8LKX6G	2021-XX-XX	USA	Homo sapiens	11
MZ363429	RvC11/USA/2021/372442	2021-XX-XX	USA	Homo sapiens	11
MZ363430	RvC11/USA/2021/397239	2021-XX-XX	USA	Homo sapiens	11
MZ363441	RvC11/USA/2021/CU6WWX	2021-XX-XX	USA	Homo sapiens	11
MZ363458	RvC11/USA/2021/TLA26P	2021-XX-XX	USA	Homo sapiens	11
MZ363462	RvC11/USA/2021/VDNWYA	2021-XX-XX	USA	Homo sapiens	11
MZ363469	RvC11/USA/2021/ZNB3VB	2021-XX-XX	USA	Homo sapiens	11
MZ221149	RvC11/USA/2021/372618-4	2021-XX-XX	USA	Homo sapiens	11
MZ153244	RvC11/USA/2021/QZWH6	2021-XX-XX	USA	Homo sapiens	11
MZ153255	RvC11/USA/2021/2FWR4	2021-XX-XX	USA	Homo sapiens	11
MZ153268	None	2021-XX-XX	USA	Homo sapiens	11
MZ153283	RvC11/USA/2021/367874-4	2021-XX-XX	USA	Homo sapiens	11
MZ153284	RvC11/USA/2021/323706-4	2021-XX-XX	USA	Homo sapiens	11
MZ153285	RvC11/USA/2021/278005-4	2021-XX-XX	USA	Homo sapiens	11
MW969518	RvC11/USA/2021/69843	2021-XX-XX	USA	Homo sapiens	11
MW969520	RvC11/USA/2021/71514	2021-XX-XX	USA	Homo sapiens	11
MW969521	RvC11/USA/2021/69768	2021-XX-XX	USA	Homo sapiens	11
MN163127	HRVC11/08/ZJ/CHN/2017	2017-03-29	China	Homo sapiens	11
MH685698	None	2013-XX-XX	Uganda	Homo sapiens	None
EU840952	CL-170085	2008-04-XX	Switzerland	Homo sapiens	11
