strain	strain_name	date	country	host	subtype
LC720414	None	2021-XX-XX	Japan	Homo sapiens	6
LC720415	None	2021-XX-XX	Japan	Homo sapiens	55
ON729335	SC647	2017-XX-XX	USA	Homo sapiens	34
ON729340	SC9730	2017-XX-XX	USA	Homo sapiens	56
ON311150	C56_1	2020-09-21	USA	Homo sapiens	56
ON311151	C48_4	2020-04-22	USA	Homo sapiens	48
ON311152	C48_3	2020-04-13	USA	Homo sapiens	48
ON311153	C48_2	2020-04-10	USA	Homo sapiens	48
ON311154	C48_1	2020-04-02	USA	Homo sapiens	48
ON311155	C43_3	2021-03-08	USA	Homo sapiens	43
ON311156	C43_2	2020-08-10	USA	Homo sapiens	43
ON311157	C36_4	2021-05-19	USA	Homo sapiens	36
ON311158	C36_3	2021-01-18	USA	Homo sapiens	51
ON311159	C36_2	2021-01-06	USA	Homo sapiens	51
ON311160	C36_1	2021-01-05	USA	Homo sapiens	51
ON311161	C33_1	2021-03-08	USA	Homo sapiens	33
ON311162	C29_1	2020-03-30	USA	Homo sapiens	34
ON311163	C28_1	2021-03-22	USA	Homo sapiens	28
ON311164	C27_1	2021-04-18	USA	Homo sapiens	11
ON311165	C20_3	2021-02-12	USA	Homo sapiens	34
ON311166	C20_2	2021-02-11	USA	Homo sapiens	34
ON311167	C20_1	2021-02-06	USA	Homo sapiens	34
ON311168	C19_1	2020-03-06	USA	Homo sapiens	19
ON311169	C15_6	2021-01-19	USA	Homo sapiens	15
ON311170	C15_5	2021-01-16	USA	Homo sapiens	15
ON311171	C15_4	2021-01-11	USA	Homo sapiens	15
ON311172	C15_3	2021-01-11	USA	Homo sapiens	15
ON311173	C15_2	2020-11-16	USA	Homo sapiens	15
ON311174	C15_1	2020-04-10	USA	Homo sapiens	15
ON311175	C13_3	2021-02-06	USA	Homo sapiens	13
ON311176	C13_2	2021-01-29	USA	Homo sapiens	13
ON311177	C13_1	2021-01-28	USA	Homo sapiens	13
ON311178	C8_1	2021-01-25	USA	Homo sapiens	8
ON311179	C1_2	2021-01-29	USA	Homo sapiens	1
ON311180	C1_1	2020-11-28	USA	Homo sapiens	1
ON311276	C17_1	2020-11-28	USA	Homo sapiens	17
ON311277	C17_2	2020-12-03	USA	Homo sapiens	17
ON311278	C17_3	2020-12-11	USA	Homo sapiens	8
ON311279	C17_4	2020-12-14	USA	Homo sapiens	17
ON311280	C43_1	2020-07-31	USA	Homo sapiens	43
MH828517	vzhrvc1	2014-04-10	Viet Nam	Homo sapiens	None
MH828518	vzhrvc2	2015-08-27	Viet Nam	Homo sapiens	None
MH828519	vzhrvc3	2013-05-20	Viet Nam	Homo sapiens	None
MH828520	vzhrvc4	2014-06-30	Viet Nam	Homo sapiens	None
MH828521	vzhrvc5	2013-03-14	Viet Nam	Homo sapiens	None
LC699425	None	2018-XX-XX	Japan	Homo sapiens	3
OL365066	RvC15/USA/2021/E3N3WF	2021-XX-XX	USA	Homo sapiens	15
OL365068	RvC8/USA/2021/MYREPR2	2021-XX-XX	USA	Homo sapiens	8
OL365070	RvC17/USA/2021/X2GEJC	2021-XX-XX	USA	Homo sapiens	17
OL638409	RvC15/USA/2021/5MT6FT	2021-XX-XX	USA	Homo sapiens	15
OL638426	RvC42/USA/2021/D6RUSG	2021-XX-XX	USA	Homo sapiens	42
OL638433	RvC15/USA/2021/GNFRBU	2021-XX-XX	USA	Homo sapiens	15
OL638453	RvC31/USA/2021/SEA4HH	2021-XX-XX	USA	Homo sapiens	31
OL961518	RvC20/USA/2021/5AUZVQ	2021-XX-XX	USA	Homo sapiens	20
OL961524	RvC13/USA/2021/CKHXZD	2021-XX-XX	USA	Homo sapiens	13
OL961526	RvC17/USA/2021/F439UE	2021-XX-XX	USA	Homo sapiens	17
OL961531	RvC13/USA/2021/LATCKD	2021-XX-XX	USA	Homo sapiens	13
OL961535	RvC44/USA/2021/PBXE3T	2021-XX-XX	USA	Homo sapiens	44
OL961537	RvC3/USA/2021/PTDPQ7	2021-XX-XX	USA	Homo sapiens	3
OL961544	RvC44/USA/2021/SFJ6NZ	2021-XX-XX	USA	Homo sapiens	44
OM001344	RvC11/USA/2021/2VT7W9	2021-XX-XX	USA	Homo sapiens	11
OM001346	RvC33/USA/2021/6N55CL	2021-XX-XX	USA	Homo sapiens	33
OM001354	RvC1/USA/2021/TT6ABD	2021-XX-XX	USA	Homo sapiens	1
OM001407	RvC1/USA/2021/9HZPGH	2021-XX-XX	USA	Homo sapiens	1
OM001408	RvC7/USA/2021/9YB5N5	2021-XX-XX	USA	Homo sapiens	7
OM001412	RvC44/USA/2021/86PLMK	2021-XX-XX	USA	Homo sapiens	44
OM001437	RvC36/USA/2021/L4RCSQ	2021-XX-XX	USA	Homo sapiens	36
OM001438	RvC7/USA/2021/LQUYNG	2021-XX-XX	USA	Homo sapiens	7
OM001443	RvC55/USA/2021/P7JDPJ	2021-XX-XX	USA	Homo sapiens	55
OM001451	RvC7/USA/2021/TEZYBU	2021-XX-XX	USA	Homo sapiens	7
OM001455	RvC3/USA/2021/U9JKY7	2021-XX-XX	USA	Homo sapiens	3
OM001465	RvC11/USA/2021/XB3862	2021-XX-XX	USA	Homo sapiens	11
OK254823	RvC33/USA/2021/2APVU4	2021-XX-XX	USA	Homo sapiens	33
OK254829	RvC1/USA/2021/5BUGGW	2021-XX-XX	USA	Homo sapiens	1
OK254850	RvC7/USA/2021/CA3GSG	2021-XX-XX	USA	Homo sapiens	7
OK254853	RvC11/USA/2021/EC3MTA	2021-XX-XX	USA	Homo sapiens	11
OK254856	RvC36/USA/2021/FVW3YC	2021-XX-XX	USA	Homo sapiens	36
OK254858	RvC40/USA/2021/H5MAL6	2021-XX-XX	USA	Homo sapiens	40
OK254863	RvC11/USA/2021/L2PJH9	2021-XX-XX	USA	Homo sapiens	11
OK539499	RvC33/USA/2021/R37U6K	2021-XX-XX	USA	Homo sapiens	33
OK539509	RvC1/USA/2021/WMDSED	2021-XX-XX	USA	Homo sapiens	1
OK649363	RvC42/USA/2021/3MB4H3	2021-XX-XX	USA	Homo sapiens	42
OK649386	RvC43/USA/2021/DXYK42	2021-XX-XX	USA	Homo sapiens	43
OK649391	RvC9/USA/2021/GAS3WT	2021-XX-XX	USA	Homo sapiens	9
OK649407	RvC11/USA/2021/M9Y627	2021-XX-XX	USA	Homo sapiens	11
OK649416	RvC15/USA/2021/TQ6J3E	2021-XX-XX	USA	Homo sapiens	15
OK649422	RvC11/USA/2021/WL4LFZ	2021-XX-XX	USA	Homo sapiens	11
OL133730	RvC42/USA/2021/6MWLZY	2021-XX-XX	USA	Homo sapiens	42
OL133756	RvC9/USA/2021/TGS3H5	2021-XX-XX	USA	Homo sapiens	9
OL133760	RvC1/USA/2021/VJGVAT	2021-XX-XX	USA	Homo sapiens	1
OK017909	RvC31/USA/2021/2CW83A	2021-XX-XX	USA	Homo sapiens	31
OK017910	RvC11/USA/2021/3JSQVT	2021-XX-XX	USA	Homo sapiens	11
OK017913	RvC20/USA/2021/6FRZAQ	2021-XX-XX	USA	Homo sapiens	20
OK017915	RvC28/USA/2021/9FY4XM	2021-XX-XX	USA	Homo sapiens	28
OK017918	RvC1/USA/2021/82JMKJ	2021-XX-XX	USA	Homo sapiens	1
OK017923	RvC20/USA/2021/BSV8ZT	2021-XX-XX	USA	Homo sapiens	20
OK017926	RvC33/USA/2021/CMMX48	2021-XX-XX	USA	Homo sapiens	33
OK017927	RvC11/USA/2021/CPESRU	2021-XX-XX	USA	Homo sapiens	11
OK017931	RvC3/USA/2021/E6M6C4	2021-XX-XX	USA	Homo sapiens	3
OK017934	RvC20/USA/2021/HD3BU5	2021-XX-XX	USA	Homo sapiens	20
OK017938	RvC44/USA/2021/J9YXQX	2021-XX-XX	USA	Homo sapiens	44
OK017942	RvC15/USA/2021/MMYYYH	2021-XX-XX	USA	Homo sapiens	15
OK017944	RvC11/USA/2021/N2VNU5	2021-XX-XX	USA	Homo sapiens	11
OK017945	RvC17/USA/2021/NAJQX5	2021-XX-XX	USA	Homo sapiens	17
OK017948	RvC20/USA/2021/P97PQA	2021-XX-XX	USA	Homo sapiens	20
OK017949	RvC3/USA/2021/PE4F23	2021-XX-XX	USA	Homo sapiens	3
OK017951	RvC33/USA/2021/Q88UTK	2021-XX-XX	USA	Homo sapiens	33
OK017953	RvC36/USA/2021/QSP2V8	2021-XX-XX	USA	Homo sapiens	36
OK017955	RvC17/USA/2021/SELQEW	2021-XX-XX	USA	Homo sapiens	17
OK017957	RvC36/USA/2021/SR8BMV	2021-XX-XX	USA	Homo sapiens	36
OK161364	RvC2/USA/2021/UUHCGX	2021-XX-XX	USA	Homo sapiens	2
OK161367	RvC3/USA/2021/2DEQES	2021-XX-XX	USA	Homo sapiens	3
OK161371	RvC3/USA/2021/5Q5AWX	2021-XX-XX	USA	Homo sapiens	3
OK161378	RvC3/USA/2021/96AGHN	2021-XX-XX	USA	Homo sapiens	3
OK161398	RvC15/USA/2021/T9G8TG	2021-XX-XX	USA	Homo sapiens	15
OK161404	RvC43/USA/2021/WYX8S9	2021-XX-XX	USA	Homo sapiens	43
OK161409	RvC17/USA/2021/2SH4TA	2021-XX-XX	USA	Homo sapiens	17
OK181457	RvC17/USA/2021/6KXCFQ	2021-XX-XX	USA	Homo sapiens	17
OK181472	RvC42/USA/2021/D7KU9F	2021-XX-XX	USA	Homo sapiens	42
OK181487	RvC8/USA/2021/MYREPR	2021-XX-XX	USA	Homo sapiens	8
OK181493	RvC3/USA/2021/QYZBU2	2021-XX-XX	USA	Homo sapiens	3
OK181499	RvC42/USA/2021/UUAFSF	2021-XX-XX	USA	Homo sapiens	42
OK181501	RvC7/USA/2021/WUFYKZ	2021-XX-XX	USA	Homo sapiens	7
MZ670576	RvC1/USA/2021/8TWEKH	2021-XX-XX	USA	Homo sapiens	1
MZ670590	RvC17/USA/2021/RAPS7Y	2021-XX-XX	USA	Homo sapiens	17
MZ670596	RvC36/USA/2021/YW8JLC	2021-XX-XX	USA	Homo sapiens	36
MZ670597	RvC33/USA/2021/U2X3AR	2021-XX-XX	USA	Homo sapiens	33
MZ835576	RvC2/USA/2021/GMX96J	2021-XX-XX	USA	Homo sapiens	2
MZ835598	RvC20/USA/2021/PZCRSZ	2021-XX-XX	USA	Homo sapiens	20
MZ835600	RvC36/USA/2021/RPMS88	2021-XX-XX	USA	Homo sapiens	36
MZ835616	RvC42/USA/2021/XY4C8S	2021-XX-XX	USA	Homo sapiens	42
MZ667421	HRV/NW9	2019-XX-XX	USA	Homo sapiens	None
MZ447875	BAL11A	2019-XX-XX	USA	Homo sapiens	None
MZ540944	RvC13/USA/2021/CKHXZ	2021-XX-XX	USA	Homo sapiens	13
MZ540947	RvC15/USA/2021/PSC9G8	2021-XX-XX	USA	Homo sapiens	15
MZ540948	RvC23/USA/2021/ULVLFU	2021-XX-XX	USA	Homo sapiens	23
MZ540951	RvC11/USA/2021/X7HR9N	2021-XX-XX	USA	Homo sapiens	11
MZ540954	RvC11/USA/2021/YM2DZ4	2021-XX-XX	USA	Homo sapiens	11
MZ629106	RvC11/USA/2021/77KVU4	2021-XX-XX	USA	Homo sapiens	11
MZ629107	RvC20/USA/2021/BYRST7	2021-XX-XX	USA	Homo sapiens	20
MZ629109	RvC36/USA/2021/PEXCU4	2021-XX-XX	USA	Homo sapiens	36
MZ629115	RvC3/USA/2021/4JZLHM	2021-XX-XX	USA	Homo sapiens	3
MZ629123	RvC56/USA/2021/6LBP22	2021-XX-XX	USA	Homo sapiens	56
MZ629145	RvC43/USA/2021/K2GPNX	2021-XX-XX	USA	Homo sapiens	43
MZ629159	RvC34/USA/2021/QQPNRW	2021-XX-XX	USA	Homo sapiens	34
MZ629160	RvC36/USA/2021/R7HPRS	2021-XX-XX	USA	Homo sapiens	36
MZ629164	RvC20/USA/2021/T2CPQP	2021-XX-XX	USA	Homo sapiens	20
MZ629165	RvC17/USA/2021/T3RVH2	2021-XX-XX	USA	Homo sapiens	17
MZ629168	RvC44/USA/2021/UFPUR4	2021-XX-XX	USA	Homo sapiens	44
MZ629171	RvC11/USA/2021/VXVRZL	2021-XX-XX	USA	Homo sapiens	11
MZ629172	RvC17/USA/2021/WB6M3K	2021-XX-XX	USA	Homo sapiens	17
MZ629181	RvC17/USA/2021/YLEL8X	2021-XX-XX	USA	Homo sapiens	17
MZ438010	None	2017-XX-XX	USA	Homo sapiens	None
MW679007	None	2020-03-13	USA	Homo sapiens	None
MW679009	None	2020-03-16	USA	Homo sapiens	None
MZ427501	RvC15/USA/2021/G79LPJ	2021-XX-XX	USA	Homo sapiens	15
MZ427502	RvC20/USA/2021/HTJ6AG	2021-XX-XX	USA	Homo sapiens	20
MZ427505	RvC3/USA/2021/TQBKLQ	2021-XX-XX	USA	Homo sapiens	3
MZ460673	RvC17/USA/2021/3V8LMU	2021-XX-XX	USA	Homo sapiens	17
MZ460675	RvC15/USA/2021/7LX7P3	2021-XX-XX	USA	Homo sapiens	15
MZ460677	RvC20/USA/2021/9Q6Q34	2021-XX-XX	USA	Homo sapiens	20
MZ460682	RvC17/USA/2021/ALZEA6	2021-XX-XX	USA	Homo sapiens	17
MZ460683	RvC11/USA/2021/AMBYGX	2021-XX-XX	USA	Homo sapiens	11
MZ460685	RvC11/USA/2021/BJCMLC	2021-XX-XX	USA	Homo sapiens	11
MZ460686	RvC42/USA/2021/BZ2L22	2021-XX-XX	USA	Homo sapiens	42
MZ460687	RvC3/USA/2021/FNEVNZ	2021-XX-XX	USA	Homo sapiens	3
MZ460690	RvC20/USA/2021/JXXTXL	2021-XX-XX	USA	Homo sapiens	20
MZ460691	RvC3/USA/2021/KQW8TP	2021-XX-XX	USA	Homo sapiens	3
MZ460692	RvC17/USA/2021/KVLY8C	2021-XX-XX	USA	Homo sapiens	17
MZ460694	RvC6/USA/2021/LCP8K8	2021-XX-XX	USA	Homo sapiens	6
MZ460695	RvC17/USA/2021/LQHVSZ	2021-XX-XX	USA	Homo sapiens	17
MZ460696	RvC17/USA/2021/LSW5PQ	2021-XX-XX	USA	Homo sapiens	17
MZ460697	RvC20/USA/2021/LUYEJB	2021-XX-XX	USA	Homo sapiens	20
MZ460698	RvC11/USA/2021/N349SV	2021-XX-XX	USA	Homo sapiens	11
MZ460700	RvC17/USA/2021/NXFMLG	2021-XX-XX	USA	Homo sapiens	17
MZ460701	RvC20/USA/2021/QQB94U	2021-XX-XX	USA	Homo sapiens	20
MZ460703	RvC20/USA/2021/S253U4	2021-XX-XX	USA	Homo sapiens	20
MZ460704	RvC15/USA/2021/SUSM75	2021-XX-XX	USA	Homo sapiens	15
MZ460705	RvC42/USA/2021/TCES2G	2021-XX-XX	USA	Homo sapiens	42
MZ460707	RvC15/USA/2021/VCPFJV	2021-XX-XX	USA	Homo sapiens	15
MZ460709	RvC11/USA/2021/W6UJZT	2021-XX-XX	USA	Homo sapiens	11
MZ460711	RvC20/USA/2021/WTLVJQ	2021-XX-XX	USA	Homo sapiens	20
MZ460712	RvC20/USA/2021/WYEV2L	2021-XX-XX	USA	Homo sapiens	20
MZ268647	RvC42/USA/2021/7CST74	2021-XX-XX	USA	Homo sapiens	42
MZ268648	RvC8/USA/2021/7N6PM0	2021-XX-XX	USA	Homo sapiens	8
MZ268650	RvC44/USA/2021/8DU56B	2021-XX-XX	USA	Homo sapiens	44
MZ268652	None	2021-XX-XX	USA	Homo sapiens	3
MZ268653	RvC11/USA/2021/256231	2021-XX-XX	USA	Homo sapiens	11
MZ268655	RvC23/USA/2021/278446	2021-XX-XX	USA	Homo sapiens	23
MZ268656	RvC8/USA/2021/278484	2021-XX-XX	USA	Homo sapiens	8
MZ268657	RvC42/USA/2021/278730	2021-XX-XX	USA	Homo sapiens	42
MZ268659	RvC11/USA/2021/303141	2021-XX-XX	USA	Homo sapiens	11
MZ268662	RvC3/USA/2021/AKGDSB	2021-XX-XX	USA	Homo sapiens	3
MZ268666	None	2021-XX-XX	USA	Homo sapiens	None
MZ268671	RvC20/USA/2021/S5ZVP8	2021-XX-XX	USA	Homo sapiens	20
MZ268674	RvC20/USA/2021/WUS4L7	2021-XX-XX	USA	Homo sapiens	20
MZ268675	RvC13/USA/2021/XWA2R	2021-XX-XX	USA	Homo sapiens	13
MZ268676	RvC11/USA/2021/162800	2021-XX-XX	USA	Homo sapiens	11
MZ268677	RvC3/USA/2021/163432	2021-XX-XX	USA	Homo sapiens	3
MZ268678	RvC44/USA/2021/163436	2021-XX-XX	USA	Homo sapiens	44
MZ268679	RvC11/USA/2021/163548	2021-XX-XX	USA	Homo sapiens	11
MZ268682	None	2021-XX-XX	USA	Homo sapiens	None
MZ268683	None	2021-XX-XX	USA	Homo sapiens	20
MZ268684	RvC20/USA/2021/469761	2021-XX-XX	USA	Homo sapiens	20
MZ268685	None	2021-XX-XX	USA	Homo sapiens	20
MZ268686	None	2021-XX-XX	USA	Homo sapiens	11
MZ268687	None	2021-XX-XX	USA	Homo sapiens	20
MZ268688	None	2021-XX-XX	USA	Homo sapiens	3
MZ268689	None	2021-XX-XX	USA	Homo sapiens	11
MZ268691	None	2021-XX-XX	USA	Homo sapiens	3
MZ268692	None	2021-XX-XX	USA	Homo sapiens	20
MZ268693	None	2021-XX-XX	USA	Homo sapiens	3
MZ268694	None	2021-XX-XX	USA	Homo sapiens	40
MZ268695	None	2021-XX-XX	USA	Homo sapiens	None
MZ268696	None	2021-XX-XX	USA	Homo sapiens	11
MZ268697	RvC20/USA/2021/469862	2021-XX-XX	USA	Homo sapiens	20
MZ268698	RvC17/USA/2021/163780	2021-XX-XX	USA	Homo sapiens	17
MZ268699	RvC17/USA/2021/255977	2021-XX-XX	USA	Homo sapiens	17
MZ268700	RvC17/USA/2021/303342	2021-XX-XX	USA	Homo sapiens	17
MZ268701	None	2021-XX-XX	USA	Homo sapiens	None
MZ268702	RvC11/USA/2021/2TL76C	2021-XX-XX	USA	Homo sapiens	11
MZ268704	RvC17/USA/2021/3QL9MK	2021-XX-XX	USA	Homo sapiens	17
MZ268705	RvC17/USA/2021/7M3XTG	2021-XX-XX	USA	Homo sapiens	17
MZ268706	RvC1/USA/2021/8QSTY6	2021-XX-XX	USA	Homo sapiens	1
MZ268707	RvC11/USA/2021/498C5V	2021-XX-XX	USA	Homo sapiens	11
MZ268708	RvC44/USA/2021/044640	2021-XX-XX	USA	Homo sapiens	44
MZ268709	RvC42/USA/2021/044858	2021-XX-XX	USA	Homo sapiens	42
MZ268710	RvC11/USA/2021/045373	2021-XX-XX	USA	Homo sapiens	11
MZ268711	RvC3/USA/2021/255245	2021-XX-XX	USA	Homo sapiens	3
MZ268712	RvC17/USA/2021/278067	2021-XX-XX	USA	Homo sapiens	17
MZ268714	RvC20/USA/2021/397175	2021-XX-XX	USA	Homo sapiens	20
MZ268716	RvC11/USA/2021/398871	2021-XX-XX	USA	Homo sapiens	11
MZ268717	RvC3/USA/2021/412120	2021-XX-XX	USA	Homo sapiens	3
MZ268718	RvC20/USA/2021/412252	2021-XX-XX	USA	Homo sapiens	20
MZ268720	RvC1/USA/2021/412768	2021-XX-XX	USA	Homo sapiens	1
